,uid,uname,pwd,upvoteCourses,reviewCourses,addedCourses,interest1,interest2,interest3
370,370,User370,abcs123,"[15, 47]",34,[],.NET,C++,.NET
371,371,User371,abcs123,"[55, 51]",48,[],Kotlin,Java,Data Analysis
372,372,User372,abcs123,"[95, 56]",81,[],Data Analysis,.NET,C++
373,373,User373,abcs123,"[49, 43]",94,[],Web Development,.NET,VR/AR
374,374,User374,abcs123,"[23, 63]",40,[],C++,VR/AR,C++
375,375,User375,abcs123,"[88, 63]",13,[],VR/AR,C,.NET
376,376,User376,abcs123,"[47, 66]",0,[],Unity,Data Analysis,Web Development
377,377,User377,abcs123,"[34, 10]",56,[],Data Analysis,Python,VR/AR
378,378,User378,abcs123,"[93, 54]",97,[],C++,Java,Unity
379,379,User379,abcs123,"[10, 55]",13,[],Web Development,Data Analysis,VR/AR
380,380,User380,abcs123,"[77, 23]",11,[],C,Flutter,VR/AR
381,381,User381,abcs123,"[69, 37]",55,[],Flutter,Java,Flutter
382,382,User382,abcs123,"[41, 13]",71,[],VR/AR,C++,VR/AR
383,383,User383,abcs123,"[10, 41]",65,[],VR/AR,Data Analysis,Machine Learning
384,384,User384,abcs123,"[84, 37]",13,[],Web Development,Web Development,VR/AR
385,385,User385,abcs123,"[39, 57]",11,[],Java,Data Analysis,VR/AR
386,386,User386,abcs123,"[77, 91]",70,[],Data Analysis,Web Development,Python
387,387,User387,abcs123,"[54, 21]",76,[],Machine Learning,.NET,Web Development
388,388,User388,abcs123,"[88, 56]",41,[],Python,Unity,Java
389,389,User389,abcs123,"[44, 57]",1,[],Java,Web Development,Python
390,390,User390,abcs123,"[5, 93]",52,[],.NET,Kotlin,.NET
391,391,User391,abcs123,"[45, 78]",99,[],.NET,Python,Data Analysis
392,392,User392,abcs123,"[55, 35]",92,[],Machine Learning,Kotlin,Unity
393,393,User393,abcs123,"[81, 7]",31,[],Machine Learning,C++,Flutter
394,394,User394,abcs123,"[9, 85]",66,[],Kotlin,Machine Learning,Machine Learning
395,395,User395,abcs123,"[81, 51]",87,[],C++,C++,Web Development
396,396,User396,abcs123,"[46, 65]",21,[],Kotlin,Unity,Data Analysis
397,397,User397,abcs123,"[95, 86]",34,[],Web Development,C,Unity
398,398,User398,abcs123,"[20, 3]",34,[],Flutter,Java,C
399,399,User399,abcs123,"[18, 77]",18,[],Data Analysis,Kotlin,Flutter
400,400,User400,abcs123,"[86, 56]",21,[],Machine Learning,C++,C++
401,401,User401,abcs123,"[4, 16]",35,[],C++,Unity,Flutter
402,402,User402,abcs123,"[8, 30]",38,[],Data Analysis,Java,Kotlin
403,403,User403,abcs123,"[99, 82]",9,[],Web Development,VR/AR,Data Analysis
404,404,User404,abcs123,"[46, 46]",32,[],Flutter,Unity,Kotlin
405,405,User405,abcs123,"[49, 72]",92,[],Java,Java,Kotlin
406,406,User406,abcs123,"[4, 77]",63,[],Kotlin,Java,Web Development
407,407,User407,abcs123,"[19, 86]",78,[],Unity,Python,Flutter
408,408,User408,abcs123,"[57, 47]",58,[],Web Development,Machine Learning,Web Development
409,409,User409,abcs123,"[47, 56]",17,[],.NET,Web Development,Java
410,410,User410,abcs123,"[97, 9]",0,[],VR/AR,C++,Web Development
411,411,User411,abcs123,"[73, 17]",42,[],Kotlin,C,Unity
412,412,User412,abcs123,"[67, 46]",79,[],Python,Unity,Data Analysis
413,413,User413,abcs123,"[50, 40]",42,[],VR/AR,C++,Machine Learning
414,414,User414,abcs123,"[83, 35]",42,[],Kotlin,Web Development,Java
415,415,User415,abcs123,"[31, 14]",83,[],Web Development,VR/AR,Machine Learning
416,416,User416,abcs123,"[3, 94]",17,[],VR/AR,.NET,Flutter
417,417,User417,abcs123,"[23, 63]",41,[],Machine Learning,Data Analysis,C++
418,418,User418,abcs123,"[66, 49]",88,[],Flutter,Java,VR/AR
419,419,User419,abcs123,"[71, 15]",61,[],Web Development,Kotlin,Unity
420,420,User420,abcs123,"[33, 99]",22,[],Machine Learning,Kotlin,VR/AR
421,421,User421,abcs123,"[33, 90]",40,[],Machine Learning,Data Analysis,C
422,422,User422,abcs123,"[57, 27]",94,[],Unity,C,Kotlin
423,423,User423,abcs123,"[78, 36]",81,[],Kotlin,Unity,Data Analysis
424,424,User424,abcs123,"[88, 62]",73,[],Flutter,Kotlin,Machine Learning
425,425,User425,abcs123,"[25, 15]",31,[],Web Development,Data Analysis,C
426,426,User426,abcs123,"[17, 9]",48,[],Web Development,Data Analysis,Python
427,427,User427,abcs123,"[57, 22]",50,[],.NET,Unity,Web Development
428,428,User428,abcs123,"[91, 56]",14,[],C++,Java,Kotlin
429,429,User429,abcs123,"[11, 87]",25,[],Unity,Web Development,Machine Learning
430,430,User430,abcs123,"[40, 85]",[],[],Data Analysis,Web Development,Java
431,431,User431,abcs123,"[44, 90]",[],[],C++,Web Development,Data Analysis
432,432,User432,abcs123,"[8, 70]",[],[],VR/AR,C++,VR/AR
433,433,User433,abcs123,"[69, 37]",[],[],VR/AR,Machine Learning,Unity
434,434,User434,abcs123,"[38, 20]",[],[],Web Development,Unity,VR/AR
435,435,User435,abcs123,"[91, 90]",[],[],Kotlin,C++,Web Development
436,436,User436,abcs123,"[89, 81]",[],[],Java,Data Analysis,.NET
437,437,User437,abcs123,"[22, 46]",[],[],Web Development,Machine Learning,C
438,438,User438,abcs123,"[65, 28]",[],[],Python,Unity,VR/AR
439,439,User439,abcs123,"[15, 25]",[],[],Machine Learning,Kotlin,Data Analysis
440,440,User440,abcs123,"[17, 30]",[],[],VR/AR,Unity,Machine Learning
441,441,User441,abcs123,"[63, 3]",[],[],C,Flutter,VR/AR
442,442,User442,abcs123,"[46, 70]",[],[],Web Development,C++,C++
443,443,User443,abcs123,"[73, 47]",[],[],Python,C++,Java
444,444,User444,abcs123,"[59, 70]",[],[],Python,Unity,Python
445,445,User445,abcs123,"[16, 78]",[],[],Data Analysis,Java,.NET
446,446,User446,abcs123,"[11, 8]",[],[],Flutter,Web Development,Kotlin
447,447,User447,abcs123,"[39, 50]",[],[],VR/AR,Unity,Data Analysis
448,448,User448,abcs123,"[91, 92]",[],[],Web Development,.NET,.NET
449,449,User449,abcs123,"[61, 67]",[],[],Flutter,Kotlin,C++
450,450,User450,abcs123,"[52, 98]",[],[],Unity,.NET,VR/AR
451,451,User451,abcs123,"[52, 73]",[],[],Java,Web Development,Machine Learning
452,452,User452,abcs123,"[9, 16]",[],[],Kotlin,Machine Learning,VR/AR
453,453,User453,abcs123,"[40, 82]",[],[],Unity,C++,Java
454,454,User454,abcs123,"[9, 57]",[],[],C,Web Development,Unity
455,455,User455,abcs123,"[59, 87]",[],[],Kotlin,C++,Web Development
456,456,User456,abcs123,"[66, 44]",[],[],Python,Data Analysis,VR/AR
457,457,User457,abcs123,"[16, 99]",[],[],Machine Learning,Flutter,C
458,458,User458,abcs123,"[70, 81]",[],[],Machine Learning,Web Development,Machine Learning
459,459,User459,abcs123,"[75, 23]",[],[],Unity,Python,Flutter
460,460,User460,abcs123,"[98, 16]",[],[],Flutter,Unity,Python
461,461,User461,abcs123,"[55, 64]",[],[],Kotlin,Kotlin,Python
462,462,User462,abcs123,"[7, 15]",[],[],Python,Flutter,Web Development
463,463,User463,abcs123,"[66, 19]",[],[],Data Analysis,Web Development,Java
464,464,User464,abcs123,"[38, 21]",[],[],.NET,Python,Machine Learning
465,465,User465,abcs123,"[20, 41]",[],[],Kotlin,Python,Machine Learning
466,466,User466,abcs123,"[90, 28]",[],[],Flutter,Kotlin,C++
467,467,User467,abcs123,"[44, 66]",[],[],C,Web Development,Kotlin
468,468,User468,abcs123,"[36, 10]",[],[],Flutter,Unity,Flutter
469,469,User469,abcs123,"[32, 25]",[],[],Python,Flutter,C
470,470,User470,abcs123,"[81, 70]",[],[],Web Development,VR/AR,Java
471,471,User471,abcs123,"[35, 16]",[],[],Data Analysis,Java,Data Analysis
472,472,User472,abcs123,"[80, 38]",[],[],Python,Machine Learning,VR/AR
473,473,User473,abcs123,"[78, 68]",[],[],Data Analysis,Python,Unity
474,474,User474,abcs123,"[11, 64]",[],[],C++,.NET,Unity
475,475,User475,abcs123,"[82, 21]",[],[],VR/AR,Web Development,Kotlin
476,476,User476,abcs123,"[75, 74]",[],[],C++,Java,C
477,477,User477,abcs123,"[19, 21]",[],[],VR/AR,Java,.NET
478,478,User478,abcs123,"[84, 79]",[],[],Machine Learning,Java,Unity
479,479,User479,abcs123,"[92, 77]",[],[],Data Analysis,Data Analysis,Unity
480,480,User480,abcs123,"[43, 72]",[],[],Kotlin,Flutter,Flutter
481,481,User481,abcs123,"[5, 3]",[],[],C,Python,C
482,482,User482,abcs123,"[10, 5]",[],[],.NET,Web Development,VR/AR
483,483,User483,abcs123,"[82, 98]",[],[],Unity,Java,Machine Learning
484,484,User484,abcs123,"[73, 33]",[],[],Flutter,Machine Learning,Java
485,485,User485,abcs123,"[83, 26]",[],[],C++,Machine Learning,.NET
486,486,User486,abcs123,"[98, 73]",[],[],Flutter,C,C
487,487,User487,abcs123,"[53, 79]",[],[],Flutter,Java,Web Development
488,488,User488,abcs123,"[81, 3]",[],[],C,Machine Learning,Python
489,489,User489,abcs123,"[63, 80]",[],[],Python,.NET,Unity
490,490,User490,abcs123,"[69, 37]",[],[],Flutter,VR/AR,Data Analysis
491,491,User491,abcs123,"[82, 38]",[],[],Unity,VR/AR,C++
492,492,User492,abcs123,"[61, 31]",[],[],Data Analysis,Python,Java
493,493,User493,abcs123,"[87, 51]",[],[],C,Flutter,Java
494,494,User494,abcs123,"[38, 58]",[],[],VR/AR,Flutter,C++
495,495,User495,abcs123,"[9, 88]",[],[],Unity,.NET,Data Analysis
496,496,User496,abcs123,"[7, 20]",[],[],C++,Web Development,Machine Learning
497,497,User497,abcs123,"[56, 53]",[],[],Web Development,Machine Learning,VR/AR
498,498,User498,abcs123,"[61, 59]",[],[],Flutter,C++,Data Analysis
499,499,User499,abcs123,"[26, 43]",[],[],Unity,Machine Learning,Kotlin
